Button,Address,Command
A1,0x7F80,0xFE01
A2,0x7F80,0xFC03
A3,0x7F80,0xFB04
A4,0x7F80,0xF906
B1,0x7F80,0xF807
B2,0x7F80,0xF609
B3,0x7F80,0xF50A
B4,0x7F80,0xE01F
